Product Name,Price,Ratings,Brand Name,Model Name,Washing Capacity,Color,Maximum Spin Speed,Function Type,Inbuilt Heater,Washing Method
Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey  (MAGIC CLEAN 7.0 GENX GREY 5YMW),"?15,240",4.2,Whirlpool,MAGIC CLEAN 7.0 GENX GREY 5YMW,7 kg,Grey,740 rpm,Fully Automatic Top Load,No,Agipellar
"realme TechLife 8.5 kg Semi Automatic Top Load Washing Machine Grey, Black  (RMSA855NNNDG)","?9,990",4.3,realme TechLife,RMSA855NNNDG,8.5 kg,"Grey, Black",1400 RPM,Semi Automatic Top Load,No,Pulsator
"MarQ by Flipkart 7 kg Semi Automatic Top Load Washing Machine Blue, White  (MQSA70H5M)","?7,190",4.2,MarQ by Flipkart,MQSA70H5M,7 kg,"Blue, White",1350 rpm,Semi Automatic Top Load,No,Pulsator
"realme TechLife 7 kg Semi Automatic Top Load Washing Machine White, Black  (RMSA705NNNDW)","?7,790",4.2,realme TechLife,RMSA705NNNDW,7 kg,"White, Black",1400 RPM,Semi Automatic Top Load,No,Pulsator
LG 7 kg with Smart Diagnosis and Smart Inverter Fully Automatic Top Load Washing Machine Silver  (T70SKSF1Z),"?17,490",4.4,LG,T70SKSF1Z,7 kg,Silver,700 rpm,Fully Automatic Top Load,No,Pulsator
"IFB 6 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load Washing Machine with In-built Heater White  (DIVA AQUA VSS 6008)","?21,990",4.2,IFB,DIVA AQUA VSS 6008,6 kg,White,800 rpm,Fully Automatic Front Load,Yes,Tumble Wash
SAMSUNG 6.5 kg 5 Star Inverter with Diamond Drum Fully Automatic Top Load Washing Machine Grey  (WA65T4262GG/TL),"?15,990",4.3,SAMSUNG,WA65T4262GG/TL,6.5 kg,Grey,700 rpm,Fully Automatic Top Load,No,Pulsator
SAMSUNG 8 kg Inverter 5 Star with Ecobubble Technology Washing Machine Fully Automatic Top Load Grey  (WA80BG4441BGTL),"?19,990",4.3,SAMSUNG,WA80BG4441BGTL,8 kg,Grey,700 rpm,Fully Automatic Top Load,No,Gentle
"IFB 8 kg 5 Star 2X Power Steam, Hard Water Wash Fully Automatic Front Load Washing Machine with In-built Heater White  (Senator Neo VXS 8012)","?31,990",4.4,IFB,Senator Neo VXS 8012,8 kg,White,1200 rpm,Fully Automatic Front Load,Yes,Tumble Wash
"LG 7 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (FHM1207SDM)","?29,990",4.4,LG,FHM1207SDM,7 kg,"Black, Grey",1200 rpm,Fully Automatic Front Load,Yes,Tumble
"SAMSUNG 6 kg 5 star with Center Jet Technology Semi Automatic Top Load Washing Machine White, Grey, Purple  (WT60R2000LL/TL)","?8,990",4.4,SAMSUNG,WT60R2000LL/TL,6 kg,"White, Grey, Purple",1300 rpm,Semi Automatic Top Load,No,Pulsator
SAMSUNG 9 kg WiFi Enabled Inverter 5 Star with Ecobubble Technology Washing Machine Fully Automatic Top Load Grey  (WA90BG4542BDTL),"?25,090",4.3,SAMSUNG,WA90BG4542BDTL,9 kg,Grey,700 rpm,Fully Automatic Top Load,No,Gentle
"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey  (RMSA755NNNDG)","?8,690",4.3,realme TechLife,RMSA755NNNDG,7.5 kg,"Black, Grey",1400 RPM,Semi Automatic Top Load,No,Pulsator
"ONIDA 7 kg Semi Automatic Top Load Washing Machine Black, Grey  (S70GR)","?7,990",4.2,ONIDA,S70GR,7 kg,"Black, Grey",1300 rpm,Semi Automatic Top Load,No,Pulsator
"SAMSUNG 7 kg Semi Automatic Top Load Washing Machine Grey, Purple  (WT70M3000UU/TL)","?10,990",4.4,SAMSUNG,WT70M3000UU/TL,7 kg,"Grey, Purple",1350 rpm,Semi Automatic Top Load,No,Pulsator
"Whirlpool 8 kg 5 Star Magic Clean and Faster Drying Semi Automatic Top Load Washing Machine Black, Grey  (MAGIC CLEAN 8.0 GREY DAZZLE (10YR) NH)","?12,490",4.4,Whirlpool,MAGIC CLEAN 8.0 GREY DAZZLE (10YR) NH,8 kg,"Black, Grey",1400 rpm,Semi Automatic Top Load,No,Impeller
SAMSUNG 7 kg Diamond Drum feature Fully Automatic Top Load Washing Machine Silver  (WA70A4002GS/TL),"?15,790",4.3,SAMSUNG,WA70A4002GS/TL,7 kg,Silver,680 rpm,Fully Automatic Top Load,No,Pulsator
"realme TechLife 7 kg Semi Automatic Top Load Washing Machine White, Black  (RMSA705NNNDW)","?7,790",4.2,realme TechLife,RMSA705NNNDW,7 kg,"White, Black",1400 RPM,Semi Automatic Top Load,No,Pulsator
"LG 7 kg 5 star rating and Wind jet dry Semi Automatic Top Load Washing Machine Grey, White  (P7020NGAZ)","?11,990",4.5,LG,P7020NGAZ,7 kg,"Grey, White",1350 rpm,Semi Automatic Top Load,No,Normal Pulsator Wash
realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey  (RMFA75A5G),"?12,290",4.2,realme TechLife,RMFA75A5G,7.5 kg,Grey,700 rpm,Fully Automatic Top Load,No,Pulsator
SAMSUNG 6 kg 5 Star With Hygiene Steam and Ceramic Heater Fully Automatic Front Load Washing Machine with In-built Heater White  (WW60R20GLMA/TL),"?22,990",4.4,SAMSUNG,WW60R20GLMA/TL,6 kg,White,1000 rpm,Fully Automatic Front Load,Yes,Tumble
SAMSUNG 7 kg Inverter 5 Star with Eco Bubble Technology Washing Machine Fully Automatic Top Load Grey  (WA70BG4441YYTL),"?17,990",4.3,SAMSUNG,WA70BG4441YYTL,7 kg,Grey,700 rpm,Fully Automatic Top Load,No,Gentle
"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey  (HWM65-FE)","?12,990",4.3,Haier,HWM65-FE,6.5 kg,"Brown, Grey",800 rpm,Fully Automatic Top Load,No,Pulsator
"MarQ by Flipkart 6 kg 5 Star Rating Semi Automatic Top Load Washing Machine White, Maroon  (MQSA60H5M)","?6,790",4.3,MarQ by Flipkart,MQSA60H5M,6 kg,"White, Maroon",1350 RPM,Semi Automatic Top Load,No,Pulsator
Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey  (MAGIC CLEAN 7.0 GENX GREY 5YMW),"?15,240",4.2,Whirlpool,MAGIC CLEAN 7.0 GENX GREY 5YMW,7 kg,Grey,740 rpm,Fully Automatic Top Load,No,Agipellar
"realme TechLife 8.5 kg Semi Automatic Top Load Washing Machine Grey, Black  (RMSA855NNNDG)","?9,990",4.3,realme TechLife,RMSA855NNNDG,8.5 kg,"Grey, Black",1400 RPM,Semi Automatic Top Load,No,Pulsator
"MarQ by Flipkart 7 kg Semi Automatic Top Load Washing Machine Blue, White  (MQSA70H5M)","?7,190",4.2,MarQ by Flipkart,MQSA70H5M,7 kg,"Blue, White",1350 rpm,Semi Automatic Top Load,No,Pulsator
SAMSUNG 9 kg WiFi Enabled Inverter 5 Star with Ecobubble Technology Washing Machine Fully Automatic Top Load Grey  (WA90BG4542BDTL),"?25,090",4.3,SAMSUNG,WA90BG4542BDTL,9 kg,Grey,700 rpm,Fully Automatic Top Load,No,Gentle
LG 7 kg with Smart Diagnosis and Smart Inverter Fully Automatic Top Load Washing Machine Silver  (T70SKSF1Z),"?17,490",4.4,LG,T70SKSF1Z,7 kg,Silver,700 rpm,Fully Automatic Top Load,No,Pulsator
"IFB 6 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load Washing Machine with In-built Heater White  (DIVA AQUA VSS 6008)","?21,990",4.2,IFB,DIVA AQUA VSS 6008,6 kg,White,800 rpm,Fully Automatic Front Load,Yes,Tumble Wash
"IFB 8 kg 5 Star 2X Power Steam, Hard Water Wash Fully Automatic Front Load Washing Machine with In-built Heater White  (Senator Neo VXS 8012)","?31,990",4.4,IFB,Senator Neo VXS 8012,8 kg,White,1200 rpm,Fully Automatic Front Load,Yes,Tumble Wash
SAMSUNG 6.5 kg 5 Star Inverter with Diamond Drum Fully Automatic Top Load Washing Machine Grey  (WA65T4262GG/TL),"?15,990",4.3,SAMSUNG,WA65T4262GG/TL,6.5 kg,Grey,700 rpm,Fully Automatic Top Load,No,Pulsator
"LG 7 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (FHM1207SDM)","?29,990",4.4,LG,FHM1207SDM,7 kg,"Black, Grey",1200 rpm,Fully Automatic Front Load,Yes,Tumble
"SAMSUNG 6 kg 5 star with Center Jet Technology Semi Automatic Top Load Washing Machine White, Grey, Purple  (WT60R2000LL/TL)","?8,990",4.4,SAMSUNG,WT60R2000LL/TL,6 kg,"White, Grey, Purple",1300 rpm,Semi Automatic Top Load,No,Pulsator
"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey  (RMSA755NNNDG)","?8,690",4.3,realme TechLife,RMSA755NNNDG,7.5 kg,"Black, Grey",1400 RPM,Semi Automatic Top Load,No,Pulsator
SAMSUNG 8 kg Inverter 5 Star with Ecobubble Technology Washing Machine Fully Automatic Top Load Grey  (WA80BG4441BGTL),"?19,990",4.3,SAMSUNG,WA80BG4441BGTL,8 kg,Grey,700 rpm,Fully Automatic Top Load,No,Gentle
"ONIDA 7 kg Semi Automatic Top Load Washing Machine Black, Grey  (S70GR)","?7,990",4.2,ONIDA,S70GR,7 kg,"Black, Grey",1300 rpm,Semi Automatic Top Load,No,Pulsator
"SAMSUNG 7 kg Semi Automatic Top Load Washing Machine Grey, Purple  (WT70M3000UU/TL)","?10,990",4.4,SAMSUNG,WT70M3000UU/TL,7 kg,"Grey, Purple",1350 rpm,Semi Automatic Top Load,No,Pulsator
"Whirlpool 6 kg Magic Clean 5 Star Semi Automatic Top Load Washing Machine Black, Grey  (MAGIC CLEAN 60I GREY DAZZLE)","?8,990",4.4,Whirlpool,MAGIC CLEAN 60I GREY DAZZLE,6 kg,"Black, Grey",1400 rpm,Semi Automatic Top Load,No,Impeller
SAMSUNG 6.5 kg Inverter 5 star Wobble Technology Fully Automatic Top Load Washing Machine Silver  (WA65T4262NS/TL),"?16,990",4.4,SAMSUNG,WA65T4262NS/TL,6.5 kg,Silver,700 rpm,Fully Automatic Top Load,No,Gentle
SAMSUNG 7 kg Diamond Drum feature Fully Automatic Top Load Washing Machine Silver  (WA70A4002GS/TL),"?15,790",4.3,SAMSUNG,WA70A4002GS/TL,7 kg,Silver,680 rpm,Fully Automatic Top Load,No,Pulsator
"Haier 6.5 kg Semi Automatic Top Load Washing Machine White, Maroon  (HTW65-187BO)","?8,950",4.2,Haier,HTW65-187BO,6.5 kg,"White, Maroon",1300 rpm,Semi Automatic Top Load,No,Agitator
"LG 7 kg 5 star rating and Wind jet dry Semi Automatic Top Load Washing Machine Grey, White  (P7020NGAZ)","?11,990",4.5,LG,P7020NGAZ,7 kg,"Grey, White",1350 rpm,Semi Automatic Top Load,No,Normal Pulsator Wash
realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey  (RMFA75A5G),"?12,290",4.2,realme TechLife,RMFA75A5G,7.5 kg,Grey,700 rpm,Fully Automatic Top Load,No,Pulsator
SAMSUNG 6 kg 5 Star With Hygiene Steam and Ceramic Heater Fully Automatic Front Load Washing Machine with In-built Heater White  (WW60R20GLMA/TL),"?22,990",4.4,SAMSUNG,WW60R20GLMA/TL,6 kg,White,1000 rpm,Fully Automatic Front Load,Yes,Tumble
"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey  (HWM65-FE)","?12,990",4.3,Haier,HWM65-FE,6.5 kg,"Brown, Grey",800 rpm,Fully Automatic Top Load,No,Pulsator
"MarQ by Flipkart 6 kg 5 Star Rating Semi Automatic Top Load Washing Machine White, Maroon  (MQSA60H5M)","?6,790",4.3,MarQ by Flipkart,MQSA60H5M,6 kg,"White, Maroon",1350 RPM,Semi Automatic Top Load,No,Pulsator
Haier 8.5 kg 5 Star Anti-Bacterial Vortex Pulsator Semi Automatic Top Load Washing Machine Multicolor  (HTW85-186),"?12,690",4.2,Haier,HTW85-186,8.5 kg,Multicolor,1300 rpm,Semi Automatic Top Load,No,Pulsator
Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey  (MAGIC CLEAN 7.0 GENX GREY 5YMW),"?15,240",4.2,Whirlpool,MAGIC CLEAN 7.0 GENX GREY 5YMW,7 kg,Grey,740 rpm,Fully Automatic Top Load,No,Agipellar
"realme TechLife 8.5 kg Semi Automatic Top Load Washing Machine Grey, Black  (RMSA855NNNDG)","?9,990",4.3,realme TechLife,RMSA855NNNDG,8.5 kg,"Grey, Black",1400 RPM,Semi Automatic Top Load,No,Pulsator
"MarQ by Flipkart 7 kg Semi Automatic Top Load Washing Machine Blue, White  (MQSA70H5M)","?7,190",4.2,MarQ by Flipkart,MQSA70H5M,7 kg,"Blue, White",1350 rpm,Semi Automatic Top Load,No,Pulsator
"Haier 9 kg Semi Automatic Top Load Washing Machine White, Blue  (HTW90-1159)","?13,990",4.2,Haier,HTW90-1159,9 kg,"White, Blue",1300 rpm,Semi Automatic Top Load,No,Dual Color Vortex Pulsator Wash
Whirlpool 6 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey  (MAGIC CLEAN 6.0 GENX GREY 5YMW),"?13,690",4.2,Whirlpool,MAGIC CLEAN 6.0 GENX GREY 5YMW,6 kg,Grey,740 rpm,Fully Automatic Top Load,No,Agipellar
LG 7 kg with Smart Diagnosis and Smart Inverter Fully Automatic Top Load Washing Machine Silver  (T70SKSF1Z),"?17,490",4.4,LG,T70SKSF1Z,7 kg,Silver,700 rpm,Fully Automatic Top Load,No,Pulsator
"IFB 6 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load Washing Machine with In-built Heater White  (DIVA AQUA VSS 6008)","?21,990",4.2,IFB,DIVA AQUA VSS 6008,6 kg,White,800 rpm,Fully Automatic Front Load,Yes,Tumble Wash
SAMSUNG 9 kg WiFi Enabled Inverter 5 Star with Ecobubble Technology Washing Machine Fully Automatic Top Load Grey  (WA90BG4542BDTL),"?25,090",4.3,SAMSUNG,WA90BG4542BDTL,9 kg,Grey,700 rpm,Fully Automatic Top Load,No,Gentle
SAMSUNG 6.5 kg 5 Star Inverter with Diamond Drum Fully Automatic Top Load Washing Machine Grey  (WA65T4262GG/TL),"?15,990",4.3,SAMSUNG,WA65T4262GG/TL,6.5 kg,Grey,700 rpm,Fully Automatic Top Load,No,Pulsator
"IFB 8 kg 5 Star 2X Power Steam, Hard Water Wash Fully Automatic Front Load Washing Machine with In-built Heater White  (Senator Neo VXS 8012)","?31,990",4.4,IFB,Senator Neo VXS 8012,8 kg,White,1200 rpm,Fully Automatic Front Load,Yes,Tumble Wash
"LG 7 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (FHM1207SDM)","?29,990",4.4,LG,FHM1207SDM,7 kg,"Black, Grey",1200 rpm,Fully Automatic Front Load,Yes,Tumble
SAMSUNG 8 kg Inverter 5 Star with Ecobubble Technology Washing Machine Fully Automatic Top Load Grey  (WA80BG4441BGTL),"?19,990",4.3,SAMSUNG,WA80BG4441BGTL,8 kg,Grey,700 rpm,Fully Automatic Top Load,No,Gentle
"SAMSUNG 6 kg 5 star with Center Jet Technology Semi Automatic Top Load Washing Machine White, Grey, Purple  (WT60R2000LL/TL)","?8,990",4.4,SAMSUNG,WT60R2000LL/TL,6 kg,"White, Grey, Purple",1300 rpm,Semi Automatic Top Load,No,Pulsator
"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey  (RMSA755NNNDG)","?8,690",4.3,realme TechLife,RMSA755NNNDG,7.5 kg,"Black, Grey",1400 RPM,Semi Automatic Top Load,No,Pulsator
"ONIDA 7 kg Semi Automatic Top Load Washing Machine Black, Grey  (S70GR)","?7,990",4.2,ONIDA,S70GR,7 kg,"Black, Grey",1300 rpm,Semi Automatic Top Load,No,Pulsator
SAMSUNG 6.5 kg Inverter 5 star Wobble Technology Fully Automatic Top Load Washing Machine Silver  (WA65T4262NS/TL),"?16,990",4.4,SAMSUNG,WA65T4262NS/TL,6.5 kg,Silver,700 rpm,Fully Automatic Top Load,No,Gentle
SAMSUNG 7 kg Diamond Drum feature Fully Automatic Top Load Washing Machine Silver  (WA70A4002GS/TL),"?15,790",4.3,SAMSUNG,WA70A4002GS/TL,7 kg,Silver,680 rpm,Fully Automatic Top Load,No,Pulsator
SAMSUNG 7 kg Inverter 5 Star with Eco Bubble Technology Washing Machine Fully Automatic Top Load Grey  (WA70BG4441YYTL),"?17,990",4.3,SAMSUNG,WA70BG4441YYTL,7 kg,Grey,700 rpm,Fully Automatic Top Load,No,Gentle
realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey  (RMFA75A5G),"?12,290",4.2,realme TechLife,RMFA75A5G,7.5 kg,Grey,700 rpm,Fully Automatic Top Load,No,Pulsator
"LG 7 kg 5 star rating and Wind jet dry Semi Automatic Top Load Washing Machine Grey, White  (P7020NGAZ)","?11,990",4.5,LG,P7020NGAZ,7 kg,"Grey, White",1350 rpm,Semi Automatic Top Load,No,Normal Pulsator Wash
"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey  (HWM65-FE)","?12,990",4.3,Haier,HWM65-FE,6.5 kg,"Brown, Grey",800 rpm,Fully Automatic Top Load,No,Pulsator
SAMSUNG 6 kg 5 Star With Hygiene Steam and Ceramic Heater Fully Automatic Front Load Washing Machine with In-built Heater White  (WW60R20GLMA/TL),"?22,990",4.4,SAMSUNG,WW60R20GLMA/TL,6 kg,White,1000 rpm,Fully Automatic Front Load,Yes,Tumble
"MarQ by Flipkart 6 kg 5 Star Rating Semi Automatic Top Load Washing Machine White, Maroon  (MQSA60H5M)","?6,790",4.3,MarQ by Flipkart,MQSA60H5M,6 kg,"White, Maroon",1350 RPM,Semi Automatic Top Load,No,Pulsator
Midea 7 kg 5 Star Fully Automatic Front Load Washing Machine with In-built Heater Grey  (MF100W70/T-IN),"?25,090",4,Midea,MF100W70/T-IN,7 kg,Grey,1200 rpm,Fully Automatic Front Load,Yes,Tumble Wash
Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey  (MAGIC CLEAN 7.0 GENX GREY 5YMW),"?15,240",4.2,Whirlpool,MAGIC CLEAN 7.0 GENX GREY 5YMW,7 kg,Grey,740 rpm,Fully Automatic Top Load,No,Agipellar
"realme TechLife 8.5 kg Semi Automatic Top Load Washing Machine Grey, Black  (RMSA855NNNDG)","?9,990",4.3,realme TechLife,RMSA855NNNDG,8.5 kg,"Grey, Black",1400 RPM,Semi Automatic Top Load,No,Pulsator
Whirlpool 6 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey  (MAGIC CLEAN 6.0 GENX GREY 5YMW),"?13,690",4.2,Whirlpool,MAGIC CLEAN 6.0 GENX GREY 5YMW,6 kg,Grey,740 rpm,Fully Automatic Top Load,No,Agipellar
Midea 7 kg 5 Star Fully Automatic Top Load Washing Machine Grey  (MA100W70/G-IN),"?13,190",4.2,Midea,MA100W70/G-IN,7 kg,Grey,680 rpm,Fully Automatic Top Load,No,Pulsator
"MarQ by Flipkart 7 kg Semi Automatic Top Load Washing Machine Blue, White  (MQSA70H5M)","?7,190",4.2,MarQ by Flipkart,MQSA70H5M,7 kg,"Blue, White",1350 rpm,Semi Automatic Top Load,No,Pulsator
LG 7 kg with Smart Diagnosis and Smart Inverter Fully Automatic Top Load Washing Machine Silver  (T70SKSF1Z),"?17,490",4.4,LG,T70SKSF1Z,7 kg,Silver,700 rpm,Fully Automatic Top Load,No,Pulsator
"IFB 8 kg 5 Star 2X Power Steam, Hard Water Wash Fully Automatic Front Load Washing Machine with In-built Heater White  (Senator Neo VXS 8012)","?31,990",4.4,IFB,Senator Neo VXS 8012,8 kg,White,1200 rpm,Fully Automatic Front Load,Yes,Tumble Wash
SAMSUNG 9 kg WiFi Enabled Inverter 5 Star with Ecobubble Technology Washing Machine Fully Automatic Top Load Grey  (WA90BG4542BDTL),"?25,090",4.3,SAMSUNG,WA90BG4542BDTL,9 kg,Grey,700 rpm,Fully Automatic Top Load,No,Gentle
"LG 7 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (FHM1207SDM)","?29,990",4.4,LG,FHM1207SDM,7 kg,"Black, Grey",1200 rpm,Fully Automatic Front Load,Yes,Tumble
"IFB 6 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load Washing Machine with In-built Heater White  (DIVA AQUA VSS 6008)","?21,990",4.2,IFB,DIVA AQUA VSS 6008,6 kg,White,800 rpm,Fully Automatic Front Load,Yes,Tumble Wash
"realme TechLife 7.5 kg 5 Star Rating Semi Automatic Top Load Washing Machine Black, Grey  (RMSA755NNNDG)","?8,690",4.3,realme TechLife,RMSA755NNNDG,7.5 kg,"Black, Grey",1400 RPM,Semi Automatic Top Load,No,Pulsator
SAMSUNG 8 kg Inverter 5 Star with Ecobubble Technology Washing Machine Fully Automatic Top Load Grey  (WA80BG4441BGTL),"?19,990",4.3,SAMSUNG,WA80BG4441BGTL,8 kg,Grey,700 rpm,Fully Automatic Top Load,No,Gentle
"SAMSUNG 6 kg 5 star with Center Jet Technology Semi Automatic Top Load Washing Machine White, Grey, Purple  (WT60R2000LL/TL)","?8,990",4.4,SAMSUNG,WT60R2000LL/TL,6 kg,"White, Grey, Purple",1300 rpm,Semi Automatic Top Load,No,Pulsator
"ONIDA 7 kg Semi Automatic Top Load Washing Machine Black, Grey  (S70GR)","?7,990",4.2,ONIDA,S70GR,7 kg,"Black, Grey",1300 rpm,Semi Automatic Top Load,No,Pulsator
"Whirlpool 6 kg Magic Clean 5 Star Semi Automatic Top Load Washing Machine Black, Grey  (MAGIC CLEAN 60I GREY DAZZLE)","?8,990",4.4,Whirlpool,MAGIC CLEAN 60I GREY DAZZLE,6 kg,"Black, Grey",1400 rpm,Semi Automatic Top Load,No,Impeller
SAMSUNG 6.5 kg Inverter 5 star Wobble Technology Fully Automatic Top Load Washing Machine Silver  (WA65T4262NS/TL),"?16,990",4.4,SAMSUNG,WA65T4262NS/TL,6.5 kg,Silver,700 rpm,Fully Automatic Top Load,No,Gentle
SAMSUNG 7 kg Diamond Drum feature Fully Automatic Top Load Washing Machine Silver  (WA70A4002GS/TL),"?15,790",4.3,SAMSUNG,WA70A4002GS/TL,7 kg,Silver,680 rpm,Fully Automatic Top Load,No,Pulsator
"realme TechLife 7 kg Semi Automatic Top Load Washing Machine White, Black  (RMSA705NNNDW)","?7,790",4.2,realme TechLife,RMSA705NNNDW,7 kg,"White, Black",1400 RPM,Semi Automatic Top Load,No,Pulsator
realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Washing Machine Grey  (RMFA75A5G),"?12,290",4.2,realme TechLife,RMFA75A5G,7.5 kg,Grey,700 rpm,Fully Automatic Top Load,No,Pulsator
"LG 7 kg 5 star rating and Wind jet dry Semi Automatic Top Load Washing Machine Grey, White  (P7020NGAZ)","?11,990",4.5,LG,P7020NGAZ,7 kg,"Grey, White",1350 rpm,Semi Automatic Top Load,No,Normal Pulsator Wash
"Haier 6.5 kg 5 Star Oceanus Wave Drum Washing Machine Fully Automatic Top Load Brown, Grey  (HWM65-FE)","?12,990",4.3,Haier,HWM65-FE,6.5 kg,"Brown, Grey",800 rpm,Fully Automatic Top Load,No,Pulsator
SAMSUNG 6 kg 5 Star With Hygiene Steam and Ceramic Heater Fully Automatic Front Load Washing Machine with In-built Heater White  (WW60R20GLMA/TL),"?22,990",4.4,SAMSUNG,WW60R20GLMA/TL,6 kg,White,1000 rpm,Fully Automatic Front Load,Yes,Tumble
"MarQ by Flipkart 6 kg 5 Star Rating Semi Automatic Top Load Washing Machine White, Maroon  (MQSA60H5M)","?6,790",4.3,MarQ by Flipkart,MQSA60H5M,6 kg,"White, Maroon",1350 RPM,Semi Automatic Top Load,No,Pulsator
Midea 7 kg 5 Star Fully Automatic Front Load Washing Machine with In-built Heater Grey  (MF100W70/T-IN),"?25,090",4,Midea,MF100W70/T-IN,7 kg,Grey,1200 rpm,Fully Automatic Front Load,Yes,Tumble Wash
Whirlpool 7 kg Magic Clean 5 Star Fully Automatic Top Load Washing Machine Grey  (MAGIC CLEAN 7.0 GENX GREY 5YMW),"?15,240",4.2,Whirlpool,MAGIC CLEAN 7.0 GENX GREY 5YMW,7 kg,Grey,740 rpm,Fully Automatic Top Load,No,Agipellar
"realme TechLife 8.5 kg Semi Automatic Top Load Washing Machine Grey, Black  (RMSA855NNNDG)","?9,990",4.3,realme TechLife,RMSA855NNNDG,8.5 kg,"Grey, Black",1400 RPM,Semi Automatic Top Load,No,Pulsator
"MarQ by Flipkart 7 kg Semi Automatic Top Load Washing Machine Blue, White  (MQSA70H5M)","?7,190",4.2,MarQ by Flipkart,MQSA70H5M,7 kg,"Blue, White",1350 rpm,Semi Automatic Top Load,No,Pulsator
Midea 7 kg 5 Star Fully Automatic Top Load Washing Machine Grey  (MA100W70/G-IN),"?13,190",4.2,Midea,MA100W70/G-IN,7 kg,Grey,680 rpm,Fully Automatic Top Load,No,Pulsator
LG 7 kg with Smart Diagnosis and Smart Inverter Fully Automatic Top Load Washing Machine Silver  (T70SKSF1Z),"?17,490",4.4,LG,T70SKSF1Z,7 kg,Silver,700 rpm,Fully Automatic Top Load,No,Pulsator
"IFB 8 kg 5 Star 2X Power Steam, Hard Water Wash Fully Automatic Front Load Washing Machine with In-built Heater White  (Senator Neo VXS 8012)","?31,990",4.4,IFB,Senator Neo VXS 8012,8 kg,White,1200 rpm,Fully Automatic Front Load,Yes,Tumble Wash
"LG 7 kg Fully Automatic Front Load Washing Machine with In-built Heater Black, Grey  (FHM1207SDM)","?29,990",4.4,LG,FHM1207SDM,7 kg,"Black, Grey",1200 rpm,Fully Automatic Front Load,Yes,Tumble
